participant_id,scenario_code,complexity_class,scenario_index,started_at,completed_at,total_turns,total_elapsed_s,attempt_number,l1_syntax_ok,l1_api_valid,exec_pass_rate,eval_behavioral_match,eval_confidence,eval_code_correct,sandbox_all_pass,evaluator_1,evaluator_2,oracle_consensus,success
user_0031,C1,C3,2,2026-03-24T10:27:22.807879+00:00,2026-03-24T10:27:22.826330+00:00,4,40.75,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0031,S2,C1,3,2026-03-24T10:30:39.727904+00:00,2026-03-24T10:30:39.751814+00:00,4,54.84,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0031,M2,C2,4,2026-03-24T10:31:49.806041+00:00,2026-03-24T10:31:49.829831+00:00,4,69.14,1,1,1,,matches_completely,5,,,correct,correct,partially,correct
user_0031,C2,C3,5,2026-03-24T10:33:05.363338+00:00,2026-03-24T10:33:05.381180+00:00,4,72.8,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0032,S1,C1,0,2026-03-24T10:26:34.003396+00:00,2026-03-24T10:26:34.029430+00:00,4,82.55,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0032,M1,C2,1,2026-03-24T10:30:20.086730+00:00,2026-03-24T10:30:20.106851+00:00,4,20.0,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0032,C1,C3,2,2026-03-24T10:33:46.366306+00:00,2026-03-24T10:33:46.394924+00:00,4,49.45,1,1,1,,partially,3,,,correct,incorrect,matches_completely,correct
user_0032,S2,C1,3,2026-03-24T10:40:45.051042+00:00,2026-03-24T10:40:45.071093+00:00,4,90.36,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0032,M2,C2,4,2026-03-24T10:44:31.756984+00:00,2026-03-24T10:44:31.777952+00:00,4,86.41,1,1,1,,matches_completely,4,,,correct,correct,partially,correct
user_0032,C2,C3,5,2026-03-24T10:46:21.917678+00:00,2026-03-24T10:46:21.937267+00:00,4,75.34,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0033,S1,C1,0,2026-03-24T10:25:21.872753+00:00,2026-03-24T10:25:21.898055+00:00,8,159.97,1,1,1,,matches_completely,4,,,correct,correct,partially,correct
user_0033,M1,C2,1,2026-03-24T10:31:35.006582+00:00,2026-03-24T10:31:35.025592+00:00,7,202.23,2,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0033,C1,C3,2,2026-03-24T10:35:09.008703+00:00,2026-03-24T10:35:09.024926+00:00,4,127.3,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0033,S2,C1,3,2026-03-24T10:42:17.521447+00:00,2026-03-24T10:42:17.537132+00:00,4,128.38,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0033,M2,C2,4,2026-03-24T10:44:23.972387+00:00,2026-03-24T10:44:23.990140+00:00,5,140.83,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0033,C2,C3,5,2026-03-24T10:46:22.212097+00:00,2026-03-24T10:46:22.236161+00:00,4,84.11,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0034,S1,C1,0,2026-03-24T10:24:20.269543+00:00,2026-03-24T10:24:20.408911+00:00,9,28.8,3,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0034,M1,C2,1,2026-03-24T10:33:32.619710+00:00,2026-03-24T10:33:32.642410+00:00,11,292.42,3,1,1,,does_not_match,5,,,incorrect,incorrect,matches_completely,incorrect
user_0034,C1,C3,2,2026-03-24T10:42:28.271240+00:00,2026-03-24T10:42:28.298524+00:00,13,454.36,3,1,1,,partially,4,,,correct,incorrect,partially,correct
user_0034,S2,C1,3,2026-03-24T10:49:31.694802+00:00,2026-03-24T10:49:31.712853+00:00,7,102.41,2,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0034,M2,C2,4,2026-03-24T10:50:37.040600+00:00,2026-03-24T10:50:37.058063+00:00,4,66.88,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
